account_id,account_name,tenant_id,health_score,health_segment,revenue,neediness_score,segment,account_level,industry,tad_score,tech_count,neediness_category
0011P00000zh1MQQAY,affordablecomfortltd,2602252581,88,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000WVtfdAAD,phillipsheatingaccompany,615851200,94,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000e2nEoAAI,mathenyheatingandcoolingserviceinc,994124453,56,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011a00000WVWGVAA5,bmelectric,658659899,82,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000W8ySaAAJ,ezelectricllc,3693706397,51,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
0011a00000anUpDAAU,blackmagicchimneysweepsofsouthernvermontllc,1701407775,64,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
001Pg00000LhpoAIAR,mountaintimeplumbingllc,3954884501,82,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001GJIRsQAP,bf_jchampagne,4389103044,70,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001CLGbjQAH,brothersguttersstpaul,1068698019,44,Red,100000,8,Residential,Corporate,Roofing,0,5,High
0011P00001JIYQQQA5,acehandyman_wichita,2960779641,87,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011P00001Hx6GaQAJ,waterservicesholdcollcdbaaxiawater,1951526682,77,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
001Pg0000027xbhIAA,protectenvironmental_chicago,3653197095,76,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000VUlMfAAL,morrisonheatingcooling,424549251,70,Yellow,100000,5,Residential,Corporate,Roofing,0,5,Medium
001Pg000001D6wuIAC,oh_rkoldaro,4155361926,81,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
0011a00000VUkf4AAD,dereksawyer,2450388761,98,Green,100000,3,Residential,Corporate,Roofing,0,5,Low
